Block_ID,Team,Plot_ID,Sand,Clay,SOM,EC_Shallow,EC_deep,N_rate,Population,PlantingDate,Hybrid,Company
3,9,1506,23.54212705,22.92319195,1.860884049,34.69833333,36.48166667,179.25,22000,8-May,DKC61-41,Dekalb
2,9,1503,22.30805304,25.18890836,1.874134336,32.44,33.864,179.25,22000,8-May,DKC61-41,Dekalb
1,9,2201,20.82430792,24.92041078,1.866034922,31.752,36.148,179.25,22000,8-May,DKC61-41,Dekalb
2,10,303,20.49177246,24.41499402,1.902030832,34.272,36.354,169.25,28000,8-May,D54VC14RIB,DynaGro
4,10,604,21.83796216,23.49927152,1.887554975,38.146,37.85,169.25,28000,8-May,D54VC14RIB,DynaGro
3,10,1706,24.0469408,22.41483038,1.857451134,35.976,39.872,169.25,28000,8-May,D54VC14RIB,DynaGro
1,10,2401,21.0563187,25.49403192,1.861980356,30.384,34.544,169.25,28000,8-May,D54VC14RIB,DynaGro
2,11,801,19.23868464,26.81175435,1.907546729,31.706,38.399,184.25,24000,8-May,P1122AML,Pioneer
4,11,906,22.23682764,23.53624546,1.871152435,36.546,36.694,184.25,24000,8-May,P1122AML,Pioneer
3,11,2404,20.63784457,22.72536483,1.847036035,38.574,41.332,184.25,24000,8-May,P1122AML,Pioneer
1,11,2402,21.12469757,23.70431016,1.857709595,39.464,43.064,184.25,24000,8-May,P1122AML,Pioneer
2,12,402,19.32944083,26.19596078,1.911641582,33.202,36.422,199.25,26000,15-May,G10L16DV,Golden Harvest
4,12,805,21.88387682,23.98583634,1.877023863,37.792,36.512,199.25,26000,15-May,G10L16DV,Golden Harvest
1,12,2203,21.35000184,22.63600509,1.856216987,33.084,36.086,199.25,26000,15-May,G10L16DV,Golden Harvest
3,12,2506,21.2354773,23.1237781,1.848420361,47.593,48.145,199.25,26000,15-May,G10L16DV,Golden Harvest
4,13,405,21.73915997,22.8830577,1.883888278,41.924,42.39,229.25,23000,15-May,204-54TRERIB,Channel
2,13,1201,20.05990414,25.96052766,1.894292506,40.261,49.129,229.25,23000,15-May,204-54TRERIB,Channel
3,13,1704,22.3087963,24.07795645,1.8629323,36.728,41.398,229.25,23000,15-May,204-54TRERIB,Channel
1,13,2702,20.94222519,23.90998565,1.854540205,36.686,40.038,229.25,23000,15-May,204-54TRERIB,Channel
2,14,203,20.30140328,24.36678057,1.903142403,33.33,35.046,184.25,28000,8-May,A643-52VT2RIB,AgriGold
4,14,1304,22.62814852,25.3976979,1.872698774,37.69,36.61,184.25,28000,8-May,A643-52VT2RIB,AgriGold
3,14,1605,22.8940825,23.69850869,1.861070656,36.442,38.298,184.25,28000,8-May,A643-52VT2RIB,AgriGold
1,14,1701,20.31987751,24.48809595,1.878998182,29.958,33.478,184.25,28000,8-May,A643-52VT2RIB,AgriGold
1,15,2502,21.094976,23.80341593,1.856359944,40.47,42.18833333,199.25,25000,8-May,DKC108-64RIB,Dekalb
4,15,404,21.66399864,22.44638959,1.890483332,44.136,46.836,199.25,25000,8-May,DKC108-64RIB,Dekalb
2,15,903,22.01246156,26.0990202,1.89044934,32.214,33.872,199.25,25000,8-May,DKC108-64RIB,Dekalb
3,15,2206,22.06678222,22.98086994,1.850603213,44.681,48.038,199.25,25000,8-May,DKC108-64RIB,Dekalb
2,16,1003,22.35357426,26.4745537,1.887962249,32.502,34.19,254.25,23000,8-May,200-48VT2PRIB,Channel
4,16,1105,21.80934035,24.80551238,1.870718918,36.652,36.362,254.25,23000,8-May,200-48VT2PRIB,Channel
1,16,2002,20.8076745,22.9287382,1.865729054,38.465,45.525,254.25,23000,8-May,200-48VT2PRIB,Channel
3,16,2204,21.18822888,22.94594558,1.851133222,35.89,39.482,254.25,23000,8-May,200-48VT2PRIB,Channel
2,17,503,20.92172985,24.73960637,1.899000959,39.242,39.674,249.25,28000,8-May,213-19VT2,Channel
4,17,606,22.02838589,23.17097774,1.876099458,40.97,42.312,249.25,28000,8-May,213-19VT2,Channel
3,17,2205,21.3094612,23.32792074,1.849073934,35,37.472,249.25,28000,8-May,213-19VT2,Channel
1,17,2602,21.02810443,23.86790528,1.855307576,38.952,42.008,249.25,28000,8-May,213-19VT2,Channel
2,18,1101,19.91700724,26.22687984,1.897565595,38.76,46.39444444,189.25,28000,31-May,DKC105-33RIB,Dekalb
4,18,1206,22.72480207,23.50860675,1.865922677,40.12166667,47.64333333,189.25,28000,31-May,DKC105-33RIB,Dekalb
3,18,1805,22.69695927,23.35317874,1.85693284,32.652,34.632,189.25,28000,31-May,DKC105-33RIB,Dekalb
1,18,1802,20.50985239,22.41502091,1.870854702,42.45666667,50.30833333,189.25,28000,31-May,DKC105-33RIB,Dekalb
4,19,305,21.63940955,22.78449629,1.885328831,44.024,42.778,229.25,22000,15-May,G10L16DV,Golden Harvest
2,19,502,19.5797934,26.26736598,1.909667443,31.662,35.264,229.25,22000,15-May,G10L16DV,Golden Harvest
3,19,1906,23.24194117,22.65420023,1.854469859,39.348,43.896,229.25,22000,15-May,G10L16DV,Golden Harvest
1,19,2501,21.00741046,25.3427549,1.860919139,30.98333333,36.10166667,229.25,22000,15-May,G10L16DV,Golden Harvest
2,20,302,19.13239603,26.112898,1.91301896,29.48,32.80333333,159.25,30000,15-May,P1366AML,Pioneer
4,20,806,22.1566804,23.43019189,1.872864326,37.214,36.896,159.25,30000,15-May,P1366AML,Pioneer
1,20,1501,20.26094951,25.02860193,1.885011159,33.06666667,39.55555556,159.25,30000,15-May,P1366AML,Pioneer
3,20,2405,20.48905479,23.52658564,1.845870258,38.056,41.288,159.25,30000,15-May,P1366AML,Pioneer
4,21,306,21.80702955,22.88047638,1.880309366,39.062,41.098,139.25,24000,8-May,6414V2P,Beck's
2,21,1001,19.73086938,26.45440125,1.900869973,36.139,43.382,139.25,24000,8-May,6414V2P,Beck's
3,21,1705,22.85351388,23.49697919,1.858997297,35.052,36.912,139.25,24000,8-May,6414V2P,Beck's
1,21,2403,21.36336109,22.4239188,1.852831158,41.978,45.252,139.25,24000,8-May,6414V2P,Beck's
2,22,1203,23.12217744,27.21226597,1.882806525,33.002,33.05,199.25,24000,31-May,5864AM,Beck's
4,22,1305,22.43228403,24.4282217,1.866963503,37.266,35.984,199.25,24000,31-May,5864AM,Beck's
3,22,1604,22.45748061,24.44064632,1.865438226,37.69,41.726,199.25,24000,31-May,5864AM,Beck's
1,22,1901,20.45519687,24.34733648,1.873418643,29.852,32.056,199.25,24000,31-May,5864AM,Beck's
2,23,603,21.16002039,25.02294395,1.897132392,36.28,35.872,199.25,36000,8-May,P1122AML,Pioneer
4,23,1306,22.98467754,23.35565276,1.864195404,39.686,45.308,199.25,36000,8-May,P1122AML,Pioneer
3,23,1904,21.92047358,23.47992916,1.858017609,37.11333333,41.59,199.25,36000,8-May,P1122AML,Pioneer
1,23,2601,20.9424005,25.18385545,1.860072557,37.444,41.828,199.25,36000,8-May,P1122AML,Pioneer
4,24,804,22.05064518,24.5464986,1.883940305,34.95,36.775,219.25,25000,8-May,212-02VT2PRIB,Channel
2,24,1202,21.31186149,26.06869878,1.889276816,34.72833333,34.335,219.25,25000,8-May,212-02VT2PRIB,Channel
3,24,2606,21.0733273,23.11338094,1.848220245,43.844,43.938,219.25,25000,8-May,212-02VT2PRIB,Channel
1,24,2701,20.87461685,25.04950388,1.859389499,39.38,40.696,219.25,25000,8-May,212-02VT2PRIB,Channel
2,25,403,20.69945225,24.53432631,1.900642093,36.572,37.572,214.25,28000,8-May,G16Q82DV,Golden Harvest
4,25,1106,22.50912909,23.59141096,1.867659424,38.665,42.045,214.25,28000,8-May,G16Q82DV,Golden Harvest
1,25,1801,20.37287321,24.35604616,1.876146762,30.294,32.37,214.25,28000,8-May,G16Q82DV,Golden Harvest
3,25,2304,20.91814207,22.82988107,1.849027352,38.518,41.97,214.25,28000,8-May,G16Q82DV,Golden Harvest
2,26,202,18.99543188,26.01573074,1.913745511,27.384,30.538,194.25,25500,8-May,P1122AML,Pioneer
4,26,605,21.86388634,23.33444028,1.880683519,42.21333333,41.16833333,194.25,25500,8-May,P1122AML,Pioneer
3,26,2406,21.45387268,23.10875148,1.848889528,48.512,49.975,194.25,25500,8-May,P1122AML,Pioneer
1,26,2603,20.89008945,22.752457,1.850032662,38.09666667,40.66833333,194.25,25500,8-May,P1122AML,Pioneer
4,27,204,21.20121281,22.87231257,1.893637458,39.994,43.318,279.25,34000,15-May,P1366AML,Pioneer
2,27,1303,22.91375591,26.64032168,1.879865035,33.988,35.12,279.25,34000,15-May,P1366AML,Pioneer
1,27,2202,21.03845386,23.38098049,1.861260855,40.694,46.016,279.25,34000,15-May,P1366AML,Pioneer
3,27,2306,21.73359307,23.06003235,1.849627858,48.374,51.166,279.25,34000,15-May,P1366AML,Pioneer
4,28,406,21.88838975,22.95206387,1.879005272,40.498,42.778,239.25,28000,15-May,D56TC44RIB,DynaGro
2,28,1302,21.32629365,25.67036548,1.886088668,36.47,36.79,239.25,28000,15-May,D56TC44RIB,DynaGro
1,28,2003,21.40910859,22.90543711,1.860562933,32.77,35.10333333,239.25,28000,15-May,D56TC44RIB,DynaGro
3,28,2604,20.10571499,22.55360642,1.843756805,36.775,38.86166667,239.25,28000,15-May,D56TC44RIB,DynaGro
2,29,1103,22.72392452,26.84534827,1.885404609,31.816,32.506,239.25,28000,15-May,P1366AML,Pioneer
4,29,1205,22.12934677,24.65114739,1.868866449,36.33,34.656,239.25,28000,15-May,P1366AML,Pioneer
1,29,1902,20.66177667,22.66963424,1.868222122,38.666,47.224,239.25,28000,15-May,P1366AML,Pioneer
3,29,2006,22.83383446,22.77097466,1.853068678,37.95875,41.16,239.25,28000,15-May,P1366AML,Pioneer
4,30,206,21.71830013,22.83761772,1.881504572,42.528,43.808,129.25,26000,8-May,P1122AML,Pioneer
2,30,1301,20.16084647,25.65805263,1.8910578,38.98125,48.12875,129.25,26000,8-May,P1122AML,Pioneer
1,30,2302,21.10523729,23.56270005,1.859352455,42.012,47.628,129.25,26000,8-May,P1122AML,Pioneer
3,30,2605,20.36073131,23.21188823,1.845045675,39.624,42.504,129.25,26000,8-May,P1122AML,Pioneer
2,31,803,21.70108883,25.72363035,1.892829429,29.17833333,29.96166667,199.25,28000,8-May,212-02VT2PRIB,Channel
4,31,1004,22.32307689,25.30206801,1.879717452,33.278,35.274,199.25,28000,8-May,212-02VT2PRIB,Channel
1,31,1601,20.28800445,24.72502907,1.881959929,31.13833333,36.14,199.25,28000,8-May,212-02VT2PRIB,Channel
3,31,1905,22.44028049,23.26987571,1.854892455,33.44333333,36.28,199.25,28000,8-May,212-02VT2PRIB,Channel
2,32,401,17.89555914,27.38427963,1.921034014,32.19846154,38.79307692,109.25,28000,8-May,B04Z92AM,Brevant
4,32,904,22.1818079,24.97364363,1.881889978,34.308,36.214,109.25,28000,8-May,B04Z92AM,Brevant
3,32,1505,22.82222635,23.94092041,1.863130643,36.262,37,109.25,28000,8-May,B04Z92AM,Brevant
1,32,1602,20.91926977,23.81289213,1.876859197,41.8725,47.315,109.25,28000,8-May,B04Z92AM,Brevant
2,33,1002,21.00689209,26.43810708,1.895567025,37.762,38.346,109.25,28000,8-May,B04Z92AM,Brevant
4,33,1504,22.56616774,24.81415517,1.867948158,39.166,39.8,109.25,28000,8-May,B04Z92AM,Brevant
1,33,1703,21.80076652,23.91432839,1.868366479,34.082,35.998,109.25,28000,8-May,B04Z92AM,Brevant
3,33,2305,20.8731632,23.43641581,1.847323709,37.558,40.738,109.25,28000,8-May,B04Z92AM,Brevant
4,34,504,21.75962705,22.90854309,1.889072368,42.986,43.664,169.25,28000,8-May,B04Z92AM,Brevant
2,34,902,20.75517208,26.46910139,1.898645698,39.824,40.862,169.25,28000,8-May,B04Z92AM,Brevant
1,34,1603,22.03450258,24.50497958,1.871212478,34.566,35.49,169.25,28000,8-May,B04Z92AM,Brevant
3,34,2705,20.3380024,23.11555259,1.845119646,43.05333333,46.14333333,169.25,28000,8-May,B04Z92AM,Brevant
1,35,1702,20.68896833,23.03512914,1.873791781,43.054,48.65,,28000,8-May,B04Z92AM,Brevant
3,35,2706,20.95534688,23.09103104,1.848268734,42.7875,42.47166667,,28000,8-May,B04Z92AM,Brevant
