Long;Lat;Red;IR;Altitude;Speed;Temp;Depth;EC SH;EC DP;EC Ratio;Slope;Curve
-101,0641533;39,3860483;225,17;414,62;967,3;3,97;127,37;2,8;36,68;40,88;1,11;0,818;-0,0205
-101,0641533;39,3860333;225,14;415,51;967,3;3,99;127,52;2,81;37,26;42,08;1,13;0,8273;-0,0189
-101,064155;39,3860167;224,61;413,1;967,3;4;127,68;2,81;38,33;43,83;1,14;0,8367;-0,0164
-101,064155;39,3860017;223,84;408,71;967,3;4,01;127,77;2,81;39,36;45,41;1,15;0,8372;-0,0153
-101,0641533;39,3859833;223,17;404,28;967,2;4,01;127,74;2,82;40,45;47,19;1,17;0,8341;-0,0142
-101,0641516;39,3859683;223,23;403,71;967,1;4,01;127,55;2,83;41,35;48,66;1,18;0,8285;-0,0134
-101,0641516;39,3859517;223,84;405,79;967,1;4;127,16;2,84;42,41;50,33;1,19;0,8191;-0,0127
-101,0641516;39,385935;224,48;407,72;967,2;3,99;126,68;2,83;43,43;51,83;1,19;0,8035;-0,0129
-101,0641516;39,3859183;224,63;407,22;967,2;3,98;126,32;2,82;43,97;52,66;1,2;0,7867;-0,0137
-101,0641533;39,3859017;224,13;404,05;967,1;3,97;126,26;2,82;43,76;52,52;1,2;0,7673;-0,0147
-101,0641516;39,385885;223,31;400,3;967,2;3,97;126,51;2,83;42,72;51,2;1,2;0,7475;-0,0161
-101,0641516;39,3858683;222,47;396,96;967,2;3,97;126,94;2,86;41,04;48,8;1,19;0,7239;-0,0187
-101,0641516;39,3858532;221,88;394,94;967,2;3,98;127,33;2,88;39,35;46,08;1,17;0,7015;-0,022
-101,0641516;39,3858367;221,38;392,89;967,1;4;127,66;2,9;37,76;43,15;1,14;0,6761;-0,0265
-101,0641516;39,38582;220,94;390,12;967,2;4,01;127,84;2,91;36,65;40,8;1,11;0,6498;-0,0323
-101,0641516;39,385805;220,46;386,26;967,3;4,02;127,9;2,91;36,07;39,49;1,09;0,6244;-0,0385
-101,0641533;39,3857867;219,76;380,3;967,2;4,02;127,86;2,9;35,82;38,99;1,09;0,5941;-0,0475
-101,0641533;39,38577;219,17;375,38;967,1;4;127,78;2,87;35,92;39,44;1,1;0,5664;-0,0569
-101,0641533;39,3857533;218,95;373,34;967,1;3,97;127,7;2,83;36,24;40,36;1,11;0,5396;-0,0672
-101,0641516;39,3857383;219,16;374,81;967;3,95;127,63;2,8;36,58;41,24;1,13;0,5176;-0,0765
-101,0641516;39,3857217;219,62;378,67;967,1;3,94;127,58;2,76;36,95;42;1,14;0,4946;-0,0866
-101,0641533;39,3857067;219,94;382,09;967,1;3,94;127,57;2,75;37,31;42,41;1,14;0,4754;-0,0951
-101,0641533;39,38569;220,05;384,95;967,1;3,95;127,63;2,76;37,72;42,53;1,13;0,4564;-0,1036
-101,0641533;39,3856733;220;387,1;967,2;3,96;127,76;2,79;37,99;42,28;1,11;0,44;-0,1094
-101,0641516;39,3856567;219,96;389,21;967,2;3,97;127,89;2,83;37,91;41,62;1,1;0,4272;-0,1134
-101,0641516;39,3856417;219,97;390,64;967,3;3,97;127,95;2,85;37,49;40,71;1,09;0,4173;-0,1155
-101,0641516;39,3856233;219,96;390,74;967,4;3,98;127,92;2,86;36,83;39,57;1,07;0,4094;-0,1151
-101,0641533;39,3856083;219,93;389,34;967,4;3,97;127,86;2,86;36,5;38,95;1,07;0,4069;-0,1126
-101,0641516;39,3855917;219,93;387,26;967,5;3,95;127,77;2,86;36,49;38,73;1,06;0,4065;-0,1079
-101,0641533;39,3855767;220;385,53;967,6;3,93;127,72;2,86;36,68;38,77;1,06;0,4078;-0,1021
-101,0641533;39,38556;220,28;384,67;967,6;3,92;127,72;2,86;36,82;38,76;1,05;0,4109;-0,0948
-101,0641533;39,385545;220,72;384,95;967,5;3,91;127,77;2,86;36,76;38,56;1,05;0,4138;-0,0872
-101,064155;39,38553;221,32;386,89;967,5;3,93;127,86;2,87;36,67;38,36;1,05;0,4193;-0,0789
-101,064155;39,3855133;222;390,42;967,5;3,95;128;2,88;36,91;38,51;1,04;0,4258;-0,0697
-101,064155;39,3854967;222,59;395,58;967,4;3,98;128,16;2,88;37,92;39,53;1,04;0,4326;-0,0608
-101,064155;39,3854817;223,01;401,02;967,5;3,99;128,29;2,89;39,47;41,21;1,04;0,44;-0,0527
-101,064155;39,385465;223,18;405,28;967,4;3,99;128,36;2,89;41,21;43,14;1,05;0,4486;-0,0442
-101,064155;39,3854483;222,84;404,3;967,2;3,99;128,3;2,9;41,91;43,83;1,05;0,458;-0,0359
-101,064155;39,3854317;222,04;397,53;967;3,98;128,08;2,92;40,88;42,45;1,04;0,4681;-0,028
-101,0641566;39,3854133;221,25;388,73;967;3,96;127,68;2,94;38,11;39,04;1,02;0,478;-0,0202
-101,0641566;39,3853967;220,99;384,6;967,1;3,94;127,32;2,95;35,27;35,71;1,01;0,4912;-0,0132
-101,0641583;39,38538;221,11;385,22;967;3,92;127,15;2,96;32,99;33,19;1,01;0,5061;-0,0067
-101,0641583;39,385365;221,27;387,66;967;3,92;127,23;2,96;31,78;31,97;1,01;0,5207;-0,0003
-101,0641583;39,38535;221,45;390,67;967,1;3,93;127,52;2,95;31,37;31,69;1,01;0,5352;0,0044
-101,06416;39,385335;221,6;393,66;967,1;3,96;127,92;2,94;31,56;32,16;1,02;0,5511;0,0087
-101,06416;39,3853167;221,72;396,51;967,1;3,99;128,4;2,92;32,23;33,4;1,04;0,5716;0,0136
-101,06416;39,3853;221,86;398,68;967,1;4,01;128,71;2,9;32,96;34,84;1,06;0,5903;0,0176
-101,06416;39,3852833;222,13;400,44;967;4,02;128,86;2,88;33,71;36,35;1,08;0,6106;0,0212
-101,0641616;39,3852667;222,57;401,77;966,9;4,02;128,84;2,87;34,52;37,73;1,09;0,6317;0,0241
-101,0641616;39,38525;222,97;402,13;966,9;4,01;128,67;2,86;35,38;38,76;1,1;0,6545;0,0267
-101,0641616;39,3852333;223,07;400,99;966,9;3,99;128,39;2,85;36,19;39,45;1,09;0,6781;0,0293
-101,06416;39,3852167;222,84;398,73;966,9;3,97;128,07;2,83;36,93;40,04;1,08;0,7002;0,0307
-101,06416;39,3852;222,41;396,79;966,9;3,95;127,88;2,8;37,71;40,91;1,08;0,7234;0,0318
-101,06416;39,3851849;222,06;396,72;966,7;3,94;127,91;2,79;38,45;41,98;1,09;0,7417;0,0324
-101,06416;39,38517;221,92;398,54;966,6;3,95;128,14;2,78;39,08;43,03;1,1;0,7573;0,0327
-101,0641583;39,3851533;221,96;401,79;966,6;3,96;128,5;2,8;39,38;43,74;1,11;0,7755;0,033
-101,0641583;39,3851367;221,83;403,35;966,6;3,98;128,87;2,83;39,2;43,72;1,12;0,7911;0,0331
-101,0641566;39,38512;221,3;401,7;966,6;3,98;129,19;2,85;38,88;43,4;1,12;0,8054;0,0332
-101,0641566;39,3851033;220,64;398,46;966,7;3,96;129,45;2,87;38,94;43,48;1,12;0,8178;0,0332
-101,0641566;39,3850867;220,36;396,4;966,8;3,9;129,58;2,87;39,53;44,23;1,12;0,8275;0,0332
-101,0641566;39,38507;220,65;396,5;966,8;3,8;129,53;2,87;40,31;45,34;1,12;0,8343;0,033
-101,0641566;39,385055;221,25;397,9;966,7;3,67;129,33;2,86;40,81;46,22;1,13;0,8413;0,0333
-101,0641566;39,38504;221,92;399,55;966,8;3,54;129,02;2,85;40,95;46,81;1,14;0,8445;0,0331
-101,064155;39,3850267;222,49;401,02;966,8;3,43;128,72;2,84;40,84;47,14;1,15;0,8472;0,033
-101,0641533;39,385015;222,9;402,12;966,8;3,35;128,46;2,83;40,66;47,36;1,16;0,8494;0,033
-101,064335;39,38497;232,85;454,23;968,2;1,96;127,71;2,77;32,26;33,87;1,05;0,6291;0,0187
-101,064335;39,3849734;232,53;451,89;968,1;2,01;127,68;2,77;32,47;34,1;1,05;0,6269;0,0182
-101,0643333;39,3849783;232;448,15;968;2,09;127,64;2,77;32,84;34,51;1,05;0,63;0,0184
-101,0643333;39,384985;231,26;442,83;967,9;2,21;127,58;2,78;33,39;35,12;1,05;0,6299;0,0183
-101,0643333;39,3849983;229,67;431,14;967,8;2,48;127,48;2,79;34,83;36,68;1,05;0,6295;0,0182
-101,0643333;39,3850117;228,07;419,06;967,8;2,79;127,46;2,81;36,74;38,7;1,05;0,6287;0,018
-101,0643333;39,385025;226,76;408,61;967,6;3,1;127,59;2,82;39;40,98;1,05;0,6273;0,0176
-101,0643333;39,38504;225,87;400,7;967,6;3,42;128,01;2,84;41,53;43,36;1,04;0,6253;0,0173
-101,0643316;39,385055;225,52;397,1;967,5;3,65;128,68;2,84;43,35;44,85;1,03;0,6253;0,017
-101,0643316;39,3850717;225,26;395,52;967,4;3,82;129,47;2,84;43,91;45;1,02;0,6201;0,0163
-101,0643316;39,3850883;224,83;394,27;967,4;3,91;130,04;2,85;42,88;43,78;1,02;0,6137;0,0153
-101,0643333;39,3851067;223,9;390,56;967,3;3,97;130,27;2,85;40,97;42,05;1,03;0,6011;0,0135
-101,0643333;39,3851234;222,99;386,09;967,4;4;130,17;2,85;39,62;41,1;1,04;0,5891;0,0118
-101,0643333;39,38514;222,68;384,16;967,4;4,02;129,8;2,85;38,97;40,85;1,05;0,5766;0,01
-101,0643333;39,3851567;223,34;387,09;967,4;4,02;129,19;2,86;38,82;40,96;1,06;0,5621;0,0079
-101,0643333;39,3851733;224,77;394,32;967,5;4;128,43;2,86;38,88;41,16;1,06;0,5468;0,0058
-101,0643333;39,38519;226,22;402,16;967,5;3,97;127,74;2,86;39,02;41,42;1,06;0,5305;0,0035
-101,0643333;39,385205;226,94;406,73;967,5;3,94;127,37;2,86;39,26;41,75;1,06;0,5159;0,0018
-101,064335;39,3852217;226,9;408,12;967,4;3,92;127,32;2,86;39,73;42,25;1,06;0,496;-0,0007
-101,064335;39,3852367;226,34;406,77;967,3;3,92;127,5;2,86;40,33;42,75;1,06;0,4825;-0,0025
-101,064335;39,3852533;225,62;404,26;967,4;3,92;127,83;2,87;41,16;43,32;1,05;0,4681;-0,0041
-101,0643333;39,3852683;225,29;403,22;967,3;3,92;128,1;2,87;42,01;43,82;1,04;0,4596;-0,005
-101,0643333;39,385285;225,42;404,44;967,4;3,92;128,27;2,88;42,89;44,22;1,03;0,4468;-0,0063
-101,0643333;39,3853017;225,9;407,61;967,4;3,92;128,22;2,88;43,42;44,22;1,02;0,4368;-0,0077
-101,064335;39,3853167;226,47;410,87;967,3;3,92;127,97;2,89;43,3;43,69;1,01;0,4267;-0,009
-101,064335;39,3853333;227,12;413,64;967,3;3,93;127,54;2,88;42,44;42,5;1;0,4214;-0,0099
-101,064335;39,38535;227,62;414,37;967,4;3,94;127,03;2,87;41,14;41,15;1;0,4148;-0,0111
-101,0643333;39,385365;227,73;412,97;967,5;3,94;126,64;2,85;40,1;40,3;1;0,4131;-0,0126
-101,0643333;39,3853817;227,16;408,2;967,5;3,94;126,47;2,82;39,69;40,38;1,02;0,4106;-0,0141
-101,0643333;39,3853983;225,97;400,93;967,4;3,94;126,66;2,82;40,25;41,63;1,03;0,4095;-0,016
-101,064335;39,385415;224,5;392,87;967,4;3,93;127,1;2,83;41,64;43,71;1,05;0,4066;-0,0184
-101,064335;39,38543;223,42;387,28;967,4;3,92;127,52;2,84;43,17;45,54;1,05;0,4067;-0,0213
-101,064335;39,3854466;222,78;384,36;967,4;3,92;127,84;2,86;44,43;46,53;1,05;0,4071;-0,0246
-101,0643366;39,3854617;222,7;384,29;967,3;3,92;127,97;2,87;44,59;45,96;1,03;0,4073;-0,0276
-101,0643366;39,3854783;222,98;385,96;967,4;3,92;127,92;2,87;43,47;43,87;1,01;0,4107;-0,0313
-101,0643366;39,3854933;223,26;387,47;967,4;3,93;127,75;2,87;41,65;41,47;1;0,4113;-0,0354
-101,0643383;39,38551;223,26;387,55;967,4;3,93;127,43;2,87;39,52;39,11;0,99;0,4138;-0,0393
-101,0643366;39,385525;222,95;385,9;967,5;3,93;126,99;2,88;38,1;37,72;0,99;0,4151;-0,0441
-101,0643366;39,3855433;222,59;383,95;967,5;3,91;126,41;2,88;37,19;36,87;0,99;0,4168;-0,0496
-101,0643383;39,38556;222,75;384,95;967,5;3,91;126,09;2,9;36,97;36,65;0,99;0,4195;-0,0535
-101,0643383;39,385575;223,33;388,59;967,6;3,92;126,17;2,91;36,93;36,61;0,99;0,4211;-0,0577
-101,0643383;39,3855933;224,15;394,28;967,6;3,94;126,67;2,91;36,88;36,63;0,99;0,4242;-0,0618
-101,0643383;39,38561;224,75;398,96;967,6;3,95;127,24;2,91;36,79;36,68;1;0,43;-0,0643
-101,0643383;39,385625;225,23;402,98;967,7;3,96;127,62;2,9;36,67;36,71;1;0,4346;-0,066
-101,0643366;39,3856417;225,81;407,71;967,8;3,95;127,82;2,89;36,54;36,72;1;0,4421;-0,0671
-101,0643366;39,3856583;226,16;410,97;967,9;3,94;127,81;2,89;36,42;36,7;1,01;0,4519;-0,0662
-101,0643383;39,385675;225,94;410,25;968;3,93;127,58;2,9;36,31;36,66;1,01;0,4627;-0,0633
-101,0643383;39,38569;225,32;406,32;968;3,92;127,19;2,91;36,24;36,63;1,01;0,4747;-0,06
-101,0643383;39,3857067;224,61;401,21;968,1;3,9;126,63;2,92;36,25;36,65;1,01;0,4874;-0,0558
-101,0643366;39,3857217;224,31;398,82;968;3,89;126,13;2,93;36,48;36,87;1,01;0,5011;-0,0518
-101,0643383;39,3857383;224,36;399,81;967,9;3,88;125,79;2,93;37,09;37,53;1,01;0,5186;-0,0456
-101,0643383;39,3857517;224,45;402;967,8;3,88;125,78;2,92;37,81;38,42;1,02;0,5326;-0,0413
-101,0643383;39,3857683;224,37;404,12;967,7;3,89;126,05;2,9;38,69;39,75;1,03;0,552;-0,0359
-101,06434;39,385785;224;403,88;967,6;3,92;126,47;2,88;39,11;40,88;1,05;0,5699;-0,0311
-101,0643416;39,3858017;223,58;402,03;967,7;3,93;126,84;2,85;38,88;41,56;1,07;0,5886;-0,0271
-101,06434;39,3858183;223,39;400,91;967,7;3,94;127,06;2,85;38,4;42,23;1,1;0,6082;-0,024
-101,06434;39,3858351;223,64;402,62;967,7;3,94;127,12;2,86;38,27;43,51;1,14;0,6249;-0,0218
-101,06434;39,3858532;224,23;406,75;967,8;3,94;127,01;2,87;38,75;45,44;1,17;0,644;-0,0202
-101,06434;39,3858683;224,67;409,74;967,9;3,92;126,86;2,88;39,4;46,96;1,19;0,6591;-0,0195
-101,0643416;39,385885;224,77;410,57;967,8;3,89;126,7;2,88;40,05;48,02;1,2;0,6721;-0,0192
-101,0643416;39,3859;224,5;408,99;967,8;3,85;126,65;2,88;40,52;48,45;1,2;0,6844;-0,0194
-101,0643416;39,3859167;223,94;405,72;967,7;3,83;126,72;2,87;40,92;48,56;1,19;0,6934;-0,0215
-101,0643416;39,38593;223,55;403,28;967,8;3,84;126,87;2,87;41,09;48,43;1,18;0,7006;-0,0232
-101,0643416;39,3859466;223,47;402,26;967,9;3,89;127,13;2,88;41,01;47,91;1,17;0,7068;-0,0253
-101,0643416;39,3859634;224,1;404,78;967,9;3,95;127,37;2,9;40,49;46,84;1,16;0,7084;-0,0286
-101,0643416;39,3859783;225,12;409,35;967,9;3,99;127,51;2,92;39,81;45,57;1,14;0,7086;-0,0317
-101,06434;39,385995;226,2;414,62;968;4,01;127,53;2,93;38,98;43,96;1,13;0,7081;-0,0354
-101,0643416;39,3860117;226,68;417,8;968;4;127,39;2,93;38,14;42,26;1,11;0,6983;-0,0394
-101,06434;39,3860283;226,62;418,99;968,1;3,97;127,08;2,92;37,18;40,59;1,09;0,6899;-0,0438
-101,0643416;39,3860433;226,49;419,7;968,1;3,95;126,63;2,9;36,12;39,08;1,08;0,6755;-0,0485
-101,0643416;39,38606;226,52;420,55;968;3,92;126,02;2,88;34,92;37,56;1,08;0,6571;-0,054
-101,0643416;39,3860767;226,71;421,58;967,9;3,91;125,49;2,86;34,02;36,36;1,07;0,6348;-0,0596
-101,0643416;39,3860917;226,74;422,26;968;3,91;125,29;2,86;33,74;35,78;1,06;0,6124;-0,0648
-101,0643433;39,3861067;226,51;422,61;968;3,91;125,44;2,88;33,97;35,75;1,05;0,5859;-0,0703
-101,0643433;39,3861233;225,92;422,11;968;3,93;125,87;2,9;34,53;36,13;1,05;0,5574;-0,0756
-101,0643416;39,3861383;225,19;420,47;968,2;3,95;126,31;2,91;35,05;36,64;1,05;0,5329;-0,0795
-101,0643416;39,386155;224,33;417,26;968,3;3,97;126,69;2,92;35,42;37,14;1,05;0,5008;-0,0834
-101,0643416;39,3861717;223,55;413,57;968,2;3,98;126,85;2,93;35,48;37,45;1,06;0,4668;-0,0851
-101,06434;39,3861867;223,03;410,6;968,2;3,99;126,83;2,93;35,35;37,54;1,06;0,4392;-0,0862
-101,06434;39,3862033;222,84;408,67;968,1;4;126,63;2,93;35,11;37,55;1,07;0,407;-0,0869
-101,0643383;39,3862183;223,17;408,85;968;4;126,26;2,93;34,88;37,6;1,08;0,3785;-0,0837
-101,06434;39,3862367;224,05;411,13;967,9;3,96;125,69;2,93;34,68;37,79;1,09;0,3433;-0,0795
-101,06434;39,3862517;224,7;413,21;967,8;3,91;125,33;2,92;34,65;38,05;1,1;0,3172;-0,0735
-101,06434;39,3862667;224,95;414,16;967,8;3,87;125,26;2,92;34,83;38,43;1,1;0,2926;-0,0651
-101,0643383;39,3862817;224,82;414,23;967,7;3,86;125,52;2,91;35,23;38,98;1,11;0,2705;-0,0538
-101,06434;39,3862983;224,61;415,06;967,7;3,88;126,06;2,91;35,9;39,79;1,11;0,2476;-0,0385
-101,0643383;39,3863133;224,74;417,9;967,8;3,9;126,55;2,91;36,6;40,63;1,11;0,2328;-0,0215
-101,0643383;39,3863283;225,21;422,25;967,8;3,92;126,9;2,91;37,32;41,53;1,11;0,2191;-0,0025
-101,0643383;39,3863433;225,78;426,38;967,7;3,94;127,08;2,9;38,09;42,49;1,12;0,2097;0,0178
-101,0643383;39,3863583;226,18;428,68;967,7;3,95;127,13;2,9;38,94;43,51;1,12;0,2048;0,0397
-101,0643383;39,386375;226,39;428,95;967,7;3,97;127,02;2,9;39,85;44,57;1,12;0,2038;0,0643
-101,0643366;39,3863917;226,56;427,93;967,7;3,99;126,76;2,91;40,49;45,25;1,12;0,2075;0,0892
-101,0643366;39,3864083;226,8;426,56;967,6;4;126,39;2,92;40,7;45,45;1,12;0,2169;0,1106
-101,0643383;39,3864233;226,91;424,42;967,6;3,99;126,05;2,92;40,58;45,32;1,12;0,2305;0,1256
-101,06434;39,3864417;226,56;419,71;967,6;3,96;125,85;2,91;40,13;44,88;1,12;0,257;0,1385
-101,0643416;39,3864567;225,84;414,72;967,6;3,95;125,94;2,9;39,56;44,26;1,12;0,2846;0,1447
-101,0643416;39,386475;224,8;410,05;967,6;3,96;126,31;2,9;38,64;43,09;1,12;0,3227;0,1471
-101,0643416;39,38649;224,27;409,21;967,6;3,97;126,63;2,9;37,83;41,93;1,11;0,3574;0,1444
-101,06434;39,3865067;224,17;411,17;967,6;3,99;126,9;2,91;36,95;40,59;1,1;0,3988;0,1388
-101,06434;39,3865217;224,33;413,63;967,5;4,01;127,02;2,92;36,19;39,46;1,09;0,438;0,1296
-101,0643383;39,3865383;224,53;415,47;967,5;4,01;127,1;2,93;35,39;38,36;1,08;0,4818;0,1185
