date,arable_field_evapotranspiration_mm,arable_canopy_evapotranspiration_mm,growing_degree_days,accumulated_growing_degree_days,ndvi,minimum_relative_humidity,relative_humidity_at_max_temp,relative_humidity_at_min_temp,shortwave_downwelling_radiation,max_temp,mean_temp,min_temp,max_dew_point_temp,precipitation,precipitation_hours,cumulative_precipitation,sea_level_pressure,vapor_pressure_deficit,crop_coefficient,dew_temp,crop_water_demand_mm_day,sun_duration,wind_speed,wind_direction_degrees,max_wind_speed,min_wind_speed,TrtID
2024-07-01T00:00:00Z,0.22,0.19,26,1048,0.73,28,30,96,21,100,78,65,70,0.7,6,1.8,1008,12,0.88,67,0,9.7,3,167,8,2,2
2024-07-02T00:00:00Z,0.23,0.21,26,1073,0.75,42,43,98,24,83,75,68,69,0,0,1.8,1008,9,0.91,65,0,11.4,2,145,4,0,2
2024-07-03T00:00:00Z,0.22,0.2,23,1096,0.77,42,50,86,22,86,73,61,68,0.3,2,2.15,1012,8,0.95,63,0,9.7,3,166,6,2,2
2024-07-04T00:00:00Z,0.25,0.23,17,1114,0.77,34,38,99,27,80,67,55,61,0,1,2.16,1016,9,0.94,55,0,12.1,3,165,4,1,2
2024-07-05T00:00:00Z,0.15,0.14,16,1129,0.78,46,47,95,17,79,64,52,61,0.3,4,2.42,1019,7,0.96,55,0,11.5,2,248,4,1,2
2024-07-06T00:00:00Z,0.21,0.2,21,1151,0.76,36,36,94,23,90,70,56,66,0.3,1,2.71,1012,8,0.93,60,0,11.4,3,170,6,1,2
2024-07-07T00:00:00Z,0.09,0.09,16,1166,0.78,58,59,98,11,75,63,57,62,0.1,6,2.86,1015,3,0.96,59,0,8.9,2,232,4,1,2
2024-07-08T00:00:00Z,0.25,0.24,18,1184,0.81,36,40,95,28,81,68,55,59,0,0,2.86,1016,10,1.01,55,0,12.5,2,194,3,1,2
2024-07-09T00:00:00Z,0.28,0.28,19,1203,0.81,30,34,98,28,91,74,51,61,0,0,2.86,1014,15,1,56,0,12.5,2,180,3,0,2
2024-07-10T00:00:00Z,0.27,0.27,22,1225,0.81,28,34,88,27,91,76,59,62,0,0,2.86,1014,17,1.01,57,0,12.3,2,140,3,1,2
2024-07-11T00:00:00Z,0.27,0.27,21,1247,0.83,34,37,98,27,93,76,57,66,0,0,2.86,1014,15,1.03,60,0,12.3,2,88,4,0,2
2024-07-12T00:00:00Z,0.29,0.3,23,1270,0.83,27,27,91,27,97,81,60,67,0,0,2.87,1010,21,1.04,60,0,12.3,3,136,4,2,2
2024-07-13T00:00:00Z,0.3,0.31,23,1293,0.86,30,33,78,27,98,82,60,67,0,0,2.87,1010,22,1.08,59,0,12.4,2,157,3,1,2
2024-07-14T00:00:00Z,0.26,0.28,24,1317,0.85,31,38,94,24,97,79,62,68,0.2,7,3.11,1012,16,1.07,63,0,11.8,3,180,6,1,2
2024-07-15T00:00:00Z,0.3,0.32,25,1341,0.88,26,27,76,26,100,85,63,68,0,1,3.14,1007,25,1.11,59,0,12.2,2,149,4,0,2
2024-07-16T00:00:00Z,0.21,0.24,26,1368,0.83,40,42,80,21,91,78,67,68,0,2,3.16,1011,14,1.03,64,0,11.1,2,89,6,0,2
2024-07-17T00:00:00Z,0.2,0.21,23,1391,0.82,44,51,96,21,85,73,61,65,0.1,5,3.3,1018,10,1.03,62,0,10.6,2,135,4,0,2
2024-07-18T00:00:00Z,0.24,0.25,23,1414,0.84,40,40,99,25,91,75,59,65,0,1,3.32,1018,12,1.05,62,0,11.8,2,148,4,0,2
2024-07-19T00:00:00Z,0.18,0.19,23,1437,0.84,40,41,95,19,93,74,60,69,2.3,9,5.62,1015,10,1.05,63,2,9.4,3,177,4,0,2
2024-07-20T00:00:00Z,0.16,0.17,21,1458,0.84,55,57,93,17,82,70,60,66,0.1,3,5.74,1018,6,1.05,62,0,9.7,3,168,4,2,2
2024-07-21T00:00:00Z,0.18,0.19,19,1477,0.84,43,47,99,19,82,69,57,65,0,0,5.74,1020,8,1.05,59,0,11.3,2,129,3,0,2
2024-07-22T00:00:00Z,0.2,0.21,20,1497,0.85,45,50,98,21,83,70,57,65,0.1,2,5.81,1017,8,1.06,60,0,11,1,170,3,0,2
2024-07-23T00:00:00Z,0.21,0.23,21,1518,0.85,38,43,99,21,89,72,56,68,0,0,5.81,1017,11,1.06,61,0,11.1,1,193,2,0,2
2024-07-24T00:00:00Z,0.24,0.26,22,1540,0.85,32,35,97,23,92,76,57,67,0,0,5.81,1018,14,1.07,61,0,10.9,2,196,3,1,2
2024-07-25T00:00:00Z,0.24,0.26,22,1561,0.86,32,34,97,22,92,77,57,66,0.1,4,5.86,1017,16,1.07,59,0,11.2,3,174,4,1,2
2024-07-26T00:00:00Z,0.24,0.26,24,1585,0.85,34,35,83,22,93,78,62,61,0.4,15,6.29,1012,18,1.06,59,0,11.2,4,162,6,2,2
2024-07-27T00:00:00Z,0.22,0.23,27,1612,0.91,39,40,76,19,93,80,68,66,0.5,23,6.76,1007,17,1.16,62,0,10.7,5,163,6,4,2
2024-07-28T00:00:00Z,0.24,0.28,24,1636,0.85,36,39,91,23,95,79,62,68,0.2,7,7,1006,15,1.06,63,0,11.4,3,129,6,0,2
2024-07-29T00:00:00Z,0.24,0.25,25,1661,0.84,36,37,89,21,96,80,64,67,0,1,7.02,1007,17,1.05,63,0,10.7,2,102,4,1,2
2024-07-30T00:00:00Z,0.28,0.29,24,1685,0.83,18,27,94,25,102,82,62,68,0,0,7.02,1004,22,1.03,61,0,12,2,214,3,1,2
2024-07-31T00:00:00Z,0.25,0.26,25,1709,0.84,37,40,93,24,97,80,63,73,0.1,3,7.09,1007,16,1.05,64,0,11.8,2,169,5,1,2
2024-08-01T00:00:00Z,0.23,0.25,22,1731,0.84,32,33,98,22,94,77,58,67,0,1,7.1,1017,16,1.05,61,0,11.5,2,142,4,1,2
2024-08-02T00:00:00Z,0.24,0.26,24,1755,0.84,31,32,92,22,96,80,61,67,0,2,7.12,1018,19,1.06,61,0,10.5,2,169,4,1,2
2024-08-03T00:00:00Z,0.23,0.25,28,1783,0.84,33,34,71,20,95,81,70,65,0.1,5,7.22,1015,20,1.06,60,0,9.8,2,169,5,0,2
2024-08-04T00:00:00Z,0.26,0.28,22,1804,0.84,22,25,96,23,99,81,57,65,0.1,9,7.34,1012,22,1.05,58,0,10.3,3,198,5,2,2
2024-08-05T00:00:00Z,0.25,0.26,27,1832,0.83,24,26,63,20,102,85,69,64,0.1,9,7.46,1011,26,1.04,59,0,10.1,3,158,4,0,2
2024-08-06T00:00:00Z,0.12,0.12,23,1855,0.81,45,45,91,11,84,73,62,63,0,3,7.48,1018,10,1.01,61,0,10.3,3,68,4,2,2
2024-08-07T00:00:00Z,0.21,0.21,24,1878,0.85,41,42,92,20,92,77,62,67,0.1,3,7.56,1011,13,1.06,63,0,9.6,2,120,3,0,2
2024-08-08T00:00:00Z,0.13,0.13,18,1897,0.82,53,54,74,14,75,67,62,67,0.2,5,7.75,1019,6,1.02,59,0,9.9,3,49,5,2,2
2024-08-09T00:00:00Z,0.03,0.03,8,1905,0.83,73,75,92,3,61,57,55,56,0,3,7.78,1025,2,1.04,53,0,0.2,2,100,3,0,2
2024-08-10T00:00:00Z,0.06,0.07,12,1917,0.82,66,67,88,7,70,59,54,59,0,0,7.78,1022,3,1.02,54,0,8,2,159,3,1,2
2024-08-11T00:00:00Z,0.09,0.09,19,1936,0.82,63,63,98,10,80,65,58,66,0,0,7.78,1016,4,1.02,61,0,7.6,2,141,3,2,2
2024-08-12T00:00:00Z,0.08,0.09,17,1953,0.81,70,71,99,10,78,66,56,68,0.4,5,8.21,1017,3,1.01,63,0,10.3,2,112,4,1,2
2024-08-13T00:00:00Z,0.13,0.14,26,1979,0.83,61,61,97,14,86,75,66,72,0.1,8,8.35,1012,7,1.03,68,0,10.1,3,121,5,2,2
2024-08-14T00:00:00Z,0.16,0.16,25,2004,0.85,40,49,95,15,90,73,63,72,0,0,8.35,1010,8,1.06,64,0,9.6,2,245,4,0,2
2024-08-15T00:00:00Z,0.23,0.24,22,2026,0.84,34,37,89,22,87,74,59,61,0,6,8.39,1013,14,1.05,56,0,10.9,3,239,4,1,2
2024-08-16T00:00:00Z,0.2,0.21,23,2049,0.85,39,41,88,19,90,74,59,64,0.2,6,8.6,1014,12,1.07,60,0,10.1,2,142,4,1,2
2024-08-17T00:00:00Z,0.23,0.25,21,2070,0.85,38,38,97,22,97,78,56,70,0.1,8,8.68,1013,15,1.06,64,0,10.2,2,164,4,1,2
2024-08-18T00:00:00Z,0.2,0.21,27,2097,0.85,50,52,97,21,91,77,68,73,0.1,6,8.76,1013,9,1.07,69,0,10.2,3,97,5,2,2
2024-08-19T00:00:00Z,0.18,0.19,24,2121,0.84,50,52,93,18,88,74,63,68,0.2,10,8.99,1017,10,1.05,63,0,9.2,3,113,5,0,2
2024-08-20T00:00:00Z,0.21,0.23,24,2145,0.84,46,46,94,21,92,77,62,70,0.1,8,9.06,1016,12,1.05,65,0,9.6,3,159,4,2,2
2024-08-21T00:00:00Z,0.15,0.15,25,2170,0.84,52,52,95,14,89,76,65,70,0.4,11,9.49,1014,9,1.04,67,0,8.2,4,142,6,2,2
2024-08-22T00:00:00Z,0.19,0.2,26,2197,0.85,44,47,90,18,93,77,66,70,0.7,20,10.15,1013,12,1.06,66,0,9.3,3,140,5,2,2
2024-08-23T00:00:00Z,0.1,0.11,24,2221,0.81,61,62,96,10,85,72,63,71,0.3,10,10.42,1014,5,1.01,66,0,8.2,2,141,4,0,2
2024-08-24T00:00:00Z,0.23,0.23,26,2247,0.84,26,30,97,21,100,81,67,74,0,3,10.45,1010,16,1.05,66,0,9.9,2,169,4,0,2
2024-08-25T00:00:00Z,0.25,0.26,24,2271,0.82,20,22,89,22,102,83,63,71,0.2,13,10.68,1012,24,1.03,60,0,10.2,3,211,6,2,2
2024-08-26T00:00:00Z,0.22,0.23,26,2297,0.83,28,29,88,20,98,79,66,64,0.6,15,11.23,1017,18,1.03,61,0,8.9,3,199,6,1,2
2024-08-27T00:00:00Z,0.21,0.21,24,2321,0.83,46,48,97,20,89,75,61,68,0.1,3,11.3,1017,10,1.04,64,0,10.6,2,179,3,0,2
2024-08-28T00:00:00Z,0.23,0.24,23,2344,0.83,30,31,97,21,95,78,60,68,0.1,6,11.37,1012,17,1.04,61,0,10.2,3,172,5,1,2
2024-08-29T00:00:00Z,0.09,0.1,22,2365,0.84,56,56,93,8,83,73,61,69,0,1,11.38,1013,9,1.04,62,0,6.9,3,176,4,1,2
2024-08-30T00:00:00Z,0.21,0.22,18,2384,0.84,31,32,98,21,84,67,52,59,0,0,11.38,1021,10,1.06,54,0,10.2,2,187,3,1,2
2024-08-31T00:00:00Z,0.23,0.25,18,2402,0.83,26,28,96,22,90,70,48,59,0,0,11.38,1019,15,1.04,51,0,10.5,2,198,3,1,2
2024-09-01T00:00:00Z,0.22,0.23,18,2420,0.85,31,32,96,20,89,69,46,58,0,0,11.39,1021,13,1.06,52,0,9.5,2,146,4,1,2
2024-09-02T00:00:00Z,0.21,0.23,21,2441,0.82,32,35,87,21,89,71,57,59,0.1,13,11.49,1021,13,1.03,55,0,10.2,3,157,4,2,2
2024-09-03T00:00:00Z,0.22,0.22,20,2461,0.81,26,27,85,20,90,72,54,54,0.1,9,11.62,1017,16,1.01,51,0,10.3,4,173,5,2,2
2024-09-04T00:00:00Z,0.22,0.23,21,2482,0.81,25,25,82,20,93,74,55,56,0.1,5,11.67,1016,18,1.01,52,0,10.2,3,190,5,2,2
2024-09-05T00:00:00Z,0.09,0.09,16,2497,0.8,48,53,94,8,77,67,54,60,0.1,10,11.8,1024,8,0.99,55,0,8.6,3,232,4,2,2
2024-09-06T00:00:00Z,0.18,0.18,18,2515,0.8,29,29,98,18,90,66,44,61,0,0,11.8,1024,11,1,51,0,9.6,2,190,4,0,2
2024-09-07T00:00:00Z,0.19,0.19,20,2535,0.8,36,36,89,19,87,69,53,58,0.1,7,11.91,1019,12,0.99,54,0,10.1,3,132,4,2,2
2024-09-08T00:00:00Z,0.2,0.2,18,2553,0.79,25,26,90,19,93,72,50,57,0,4,11.94,1015,16,0.98,52,0,10.1,3,152,4,1,2
2024-09-09T00:00:00Z,0.21,0.2,20,2573,0.77,19,20,80,18,99,77,54,55,0.1,8,12.04,1011,23,0.95,50,0,9.9,3,186,6,2,2
2024-09-10T00:00:00Z,0.19,0.18,19,2592,0.75,21,22,77,16,95,76,52,55,0,3,12.08,1009,21,0.92,49,0,10,3,168,4,1,2
2024-09-11T00:00:00Z,0.21,0.19,20,2612,0.75,19,19,62,18,93,75,54,46,0.1,13,12.21,1007,22,0.92,43,0,9.6,4,158,6,2,2
2024-09-12T00:00:00Z,0.18,0.16,23,2635,0.7,30,31,71,17,90,75,60,59,0.8,22,13,1005,17,0.85,53,1,10,6,154,8,4,2
2024-09-13T00:00:00Z,0.19,0.16,24,2659,0.71,31,32,75,18,94,77,62,60,0.2,9,13.24,1006,18,0.86,56,0,10.1,4,143,6,2,2
2024-09-14T00:00:00Z,0.15,0.13,22,2681,0.67,39,39,74,14,89,73,59,62,0.2,10,13.41,1011,13,0.8,58,0,9.6,3,110,5,2,2
2024-09-15T00:00:00Z,0.19,0.15,24,2705,0.68,23,26,87,17,98,78,61,61,0.1,7,13.56,1010,18,0.81,58,0,9.7,4,145,6,2,2
2024-09-16T00:00:00Z,0.17,0.14,25,2729,0.65,21,21,91,15,98,75,63,66,0.3,13,13.82,1009,15,0.78,59,0,8.8,4,153,5,2,2
2024-09-17T00:00:00Z,0.02,0.01,15,2744,0.65,50,50,93,2,82,67,62,64,0.1,6,13.9,1010,4,NA,62,NA,2.2,4,165,6,4,2
2024-06-04T00:00:00Z,0.09,0,22,417,NA,34,36,81,7,82,73,61,59,0,1,0.01,1008,14,NA,55,0,4.2,3,141,4,0,4
2024-06-05T00:00:00Z,0.26,0,19,436,0.14,20,22,94,28,91,73,52,63,0,0,0.01,1011,16,0.03,53,0,12.4,2,190,4,1,4
2024-06-06T00:00:00Z,0.26,0.01,21,457,0.14,28,28,74,30,85,71,58,57,0,0,0.01,1016,15,0.04,49,0,12.5,2,86,4,0,4
2024-06-07T00:00:00Z,0.24,0.01,23,480,0.16,27,28,73,25,98,75,60,67,0,2,0.03,1010,14,0.07,60,0,9.7,3,175,5,1,4
2024-06-08T00:00:00Z,0.21,0.01,21,501,0.17,48,49,89,26,81,71,61,66,0.3,9,0.33,1012,8,0.08,61,0,10.5,4,129,5,1,4
2024-06-09T00:00:00Z,0.2,0.02,17,519,0.17,47,48,97,24,77,66,58,59,0,0,0.33,1020,7,0.08,57,0,10.3,2,100,3,1,4
2024-06-10T00:00:00Z,0.24,0.02,17,536,0.19,36,39,92,29,81,68,54,56,0,0,0.34,1017,11,0.11,53,0,12.8,3,163,5,1,4
2024-06-11T00:00:00Z,0.26,0.03,22,558,0.2,36,37,92,29,88,73,58,61,0,0,0.34,1014,14,0.11,58,0,11.7,2,183,4,0,4
2024-06-12T00:00:00Z,0.31,0.04,25,582,0.2,14,16,86,30,101,81,64,62,0,0,0.34,1010,25,0.12,55,0,12.6,3,202,5,1,4
2024-06-13T00:00:00Z,0.27,0.03,24,606,0.2,18,19,72,27,100,82,62,64,0,0,0.34,1011,24,0.12,56,0,12.2,3,150,4,2,4
2024-06-14T00:00:00Z,0.2,0.03,25,632,0.27,36,40,76,21,87,74,65,64,0.1,1,0.43,1016,12,0.23,59,0,10.1,3,117,6,2,4
2024-06-15T00:00:00Z,0.26,0.06,24,656,0.28,26,26,86,27,96,76,62,62,0,0,0.43,1008,16,0.24,59,0,12.1,2,180,5,0,4
2024-06-16T00:00:00Z,0.29,0.07,25,681,0.28,27,28,70,29,99,83,64,66,0,0,0.43,1003,23,0.24,60,0,12.5,3,176,6,1,4
2024-06-17T00:00:00Z,0.26,0.06,28,709,0.32,32,34,86,26,96,83,71,68,0,0,0.43,999,19,0.29,65,0,11.8,6,167,9,4,4
2024-06-18T00:00:00Z,0.21,0.06,24,733,0.32,46,47,69,24,80,74,67,66,0,0,0.43,1006,11,0.29,60,0,11.7,5,147,8,4,4
2024-06-19T00:00:00Z,0.11,0.03,13,746,0.39,62,66,81,12,71,64,55,60,0,1,0.44,1023,6,0.4,54,0,9.1,3,82,5,2,4
2024-06-20T00:00:00Z,0.25,0.1,26,771,0.43,40,41,94,27,88,76,65,67,0.3,11,0.75,1020,12,0.46,63,0,12.4,4,160,7,2,4
2024-06-21T00:00:00Z,0.03,0.02,26,798,0.43,48,48,88,4,90,71,67,68,0.1,3,0.82,1019,7,NA,64,NA,2.8,5,181,8,3,4
2024-06-22T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,250,5,1,4
2024-06-23T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,177,5,1,4
2024-06-24T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,175,4,2,4
2024-06-25T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,198,3,0,4
2024-06-26T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,63,5,2,4
2024-06-27T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,159,6,2,4
2024-06-28T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,189,6,1,4
2024-06-29T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,71,5,1,4
2024-06-30T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,119,5,2,4
2024-07-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,160,8,1,4
2024-07-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,131,3,1,4
2024-07-03T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,162,6,2,4
2024-07-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,198,4,1,4
2024-07-05T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,263,2,1,4
2024-07-06T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,170,6,1,4
2024-07-07T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,228,3,1,4
2024-07-08T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,196,2,1,4
2024-07-09T00:00:00Z,0.02,0,27,1216,NA,36,36,65,0,86,75,68,56,0,0,0.82,1013,17,NA,56,0,0.2,2,175,3,0,4
2024-07-10T00:00:00Z,0.31,0.03,23,1239,0.7,28,28,86,31,91,77,59,62,0,0,0.82,1014,17,0.85,56,0,12.3,2,114,3,0,4
2024-07-11T00:00:00Z,0.31,0.26,21,1260,0.71,28,28,97,31,93,77,57,65,0,0,0.82,1014,17,0.87,58,0,12.4,2,86,4,0,4
2024-07-12T00:00:00Z,0.32,0.28,24,1284,0.72,23,25,86,31,98,82,61,64,0,0,0.82,1011,23,0.87,58,0,12.4,2,138,4,1,4
2024-07-13T00:00:00Z,0.32,0.28,24,1308,0.7,26,27,74,31,100,82,61,65,0,0,0.82,1010,23,0.85,58,0,12.5,2,130,3,1,4
2024-07-14T00:00:00Z,0.3,0.26,25,1332,0.73,26,28,92,30,99,80,63,68,0,0,0.82,1012,19,0.89,62,0,12.2,3,180,6,1,4
2024-07-15T00:00:00Z,0.32,0.29,25,1358,0.7,25,26,70,30,100,86,65,65,0,0,0.82,1008,27,0.84,58,0,12.4,2,168,4,0,4
2024-07-16T00:00:00Z,0.24,0.21,27,1384,0.74,39,40,78,24,92,78,67,67,0,0,0.82,1012,14,0.91,63,0,11.2,2,122,5,0,4
2024-07-17T00:00:00Z,0.23,0.21,23,1408,0.74,42,47,95,25,85,73,61,64,0,2,0.84,1019,10,0.91,61,0,10.8,2,162,4,0,4
2024-07-18T00:00:00Z,0.28,0.25,23,1430,0.75,37,39,98,29,90,75,60,63,0,0,0.84,1019,12,0.92,61,0,12.3,2,146,4,0,4
2024-07-19T00:00:00Z,0.21,0.19,23,1454,0.75,39,40,93,22,92,73,60,66,1.7,3,2.57,1016,10,0.91,62,2,9.6,3,178,4,0,4
2024-07-20T00:00:00Z,0.18,0.17,21,1475,0.79,54,56,92,19,82,70,61,66,0,1,2.59,1018,6,0.98,62,0,10.7,3,165,3,1,4
2024-07-21T00:00:00Z,0.21,0.2,19,1494,0.79,44,48,99,22,81,69,57,64,0,0,2.59,1020,8,0.98,59,0,11.6,2,131,3,0,4
2024-07-22T00:00:00Z,0.22,0.22,20,1513,0.8,43,50,98,24,82,70,57,63,0.1,1,2.64,1017,8,0.99,60,0,11.3,1,153,2,0,4
2024-07-23T00:00:00Z,0.25,0.24,21,1535,0.79,36,38,99,26,88,72,56,66,0,0,2.64,1017,12,0.98,60,0,11.8,1,193,2,0,4
2024-07-24T00:00:00Z,0.27,0.26,22,1557,0.78,29,34,95,27,93,76,58,64,0,0,2.64,1018,16,0.97,59,0,11.8,2,194,3,1,4
2024-07-25T00:00:00Z,0.27,0.27,22,1579,0.77,29,31,95,27,92,77,58,64,0,0,2.64,1018,18,0.95,58,0,11.8,2,174,4,1,4
2024-07-26T00:00:00Z,0.28,0.27,24,1603,0.78,33,33,80,29,92,79,63,60,0,0,2.64,1012,18,0.96,58,0,12,4,163,6,2,4
2024-07-27T00:00:00Z,0.27,0.25,27,1630,0.78,37,39,75,27,93,80,68,64,0,0,2.64,1008,17,0.96,62,0,11.8,4,162,5,4,4
