"","Block_ID","Team","Plot_ID","Sand","Clay","SOM","EC_Shallow","EC_deep","Planting_date","Seeding_rate","N_rate"
"36",4,24,804,22.0506451821486,24.5464986012074,1.88394030461964,34.95,36.775,129,25000,219.25
"37",2,6,802,20.4690727276383,26.4459289872367,1.90165044416843,34.004,35.978,136,25000,159.25
"38",2,7,901,19.5033903977193,26.6468195291445,1.90419976995427,33.22,39.99090909,129,31000,239.25
"39",2,34,902,20.7551720798421,26.4691013891782,1.89864569811071,39.824,40.862,129,28000,169.25
"40",2,15,903,22.0124615551189,26.0990201997911,1.89044934021535,32.214,33.872,129,25000,199.25
"41",4,32,904,22.1818078970177,24.9736436348097,1.88188997800963,34.308,36.214,129,28000,109.25
"42",4,6,905,21.8530095328386,24.3189831266261,1.8750011782223,38.05,36.248,136,25000,159.25
"43",4,11,906,22.236827635801,23.5362454628565,1.8711524349026,36.546,36.694,129,24000,184.25
"44",2,21,1001,19.730869375053,26.4544012501711,1.90086997341099,36.139,43.382,129,24000,139.25
"45",2,33,1002,21.0068920904775,26.4381070827827,1.89556702523947,37.762,38.346,129,28000,109.25
"46",2,16,1003,22.3535742553461,26.4745537034483,1.8879622486047,32.502,34.19,129,23000,254.25
"47",4,31,1004,22.3230768850083,25.3020680094558,1.87971745249355,33.278,35.274,129,28000,199.25
"48",4,3,1005,21.794337085787,24.6264179116258,1.87285608714075,36.314,35.444,129,23500,137.25
"49",4,7,1006,22.3485171559369,23.5972899586617,1.86940774149034,37.09333333,37.64166667,129,31000,239.25
"50",4,16,1105,21.8093403453158,24.8055123801406,1.87071891766382,36.652,36.362,129,23000,254.25
"51",4,25,1106,22.5091290852804,23.5914109608695,1.86765942424668,38.665,42.045,129,28000,214.25
"52",4,9,1104,22.460577899782,25.4972414569862,1.87745160664449,33.372,33.898,129,22000,179.25
"53",2,29,1103,22.7239245199947,26.8453482664404,1.88540460914267,31.816,32.506,136,28000,239.25
"54",2,4,1102,21.2006138016956,26.3172178216311,1.89244002124336,33.19,33.23,129,28000,19.25
"55",2,18,1101,19.9170072385635,26.2268798391184,1.89756559468789,38.76,46.39444444,152,28000,189.25
"56",4,1,1204,22.5704894500437,25.5304691968675,1.87510887762885,36.43,34.57,152,33000,264.25
"57",4,18,1206,22.7248020733833,23.5086067487886,1.86592267685984,40.12166667,47.64333333,152,28000,189.25
"58",2,22,1203,23.1221774376108,27.2122659713825,1.88280652482804,33.002,33.05,152,24000,199.25
"59",2,13,1201,20.0599041434733,25.9605276621506,1.89429250600494,40.261,49.129,136,23000,229.25
"60",4,29,1205,22.1293467719913,24.6511473850199,1.86886644886225,36.33,34.656,136,28000,239.25
"61",2,24,1202,21.3118614886263,26.0686987771379,1.88927681624333,34.72833333,34.335,129,25000,219.25
"62",4,14,1304,22.6281485224322,25.3976979016351,1.87269877401442,37.69,36.61,129,28000,184.25
"63",4,23,1306,22.9846775353788,23.355652756679,1.86419540424386,39.686,45.308,129,36000,199.25
"64",4,22,1305,22.4322840251815,24.4282216968135,1.86696350267054,37.266,35.984,152,24000,199.25
"65",2,27,1303,22.9137559090283,26.6403216797421,1.87986503512047,33.988,35.12,136,34000,279.25
"66",2,28,1302,21.326293648927,25.6703654780905,1.88608866762651,36.47,36.79,136,28000,239.25
"67",2,30,1301,20.1608464739139,25.6580526343687,1.891057800473,38.98125,48.12875,129,26000,129.25
"68",3,9,1506,23.5421270456572,22.9231919491791,1.86088404888839,34.69833333,36.48166667,129,22000,179.25
"69",3,32,1505,22.8222263489995,23.9409204120971,1.86313064332236,36.262,37,129,28000,109.25
"70",4,33,1504,22.5661677390852,24.8141551718728,1.867948158054,39.166,39.8,129,28000,109.25
"71",2,9,1503,22.3080530405844,25.1889083595315,1.87413433631064,32.44,33.864,129,22000,179.25
"72",1,3,1502,21.1149356878049,24.5370816925213,1.87998986188065,37.36833333,42.205,129,23500,137.25
"73",1,20,1501,20.2609495087144,25.0286019283017,1.88501115902707,33.06666667,39.55555556,136,30000,159.25
"74",1,31,1601,20.2880044480591,24.7250290708706,1.88195992886904,31.13833333,36.14,129,28000,199.25
"75",1,32,1602,20.9192697713677,23.812892126197,1.87685919690126,41.8725,47.315,129,28000,109.25
"76",1,34,1603,22.0345025752736,24.5049795827317,1.87121247782546,34.566,35.49,129,28000,169.25
"77",3,22,1604,22.4574806144691,24.4406463167983,1.86543822592078,37.69,41.726,152,24000,199.25
"78",3,14,1605,22.8940824984898,23.6985086884615,1.86107065639655,36.442,38.298,129,28000,184.25
"79",3,6,1606,23.8402813585047,22.6511343693172,1.85915251032195,34.934,37.706,136,25000,159.25
"80",1,14,1701,20.3198775144779,24.4880959534858,1.8789981817805,29.958,33.478,129,28000,184.25
"81",1,35,1702,20.6889683291989,23.0351291385633,1.87379178121166,43.054,48.65,NA,NA,NA
"82",1,33,1703,21.8007665226486,23.9143283899515,1.86836647852473,34.082,35.998,129,28000,109.25
"83",3,13,1704,22.3087962999887,24.0779564536381,1.86293229988201,36.728,41.398,136,23000,229.25
"84",3,21,1705,22.8535138806767,23.4969791856486,1.85899729683754,35.052,36.912,129,24000,139.25
"85",3,10,1706,24.0469407993536,22.4148303808603,1.85745113435972,35.976,39.872,129,28000,169.25
"86",3,4,1806,23.6543683031543,22.5322731930346,1.85593707426697,39.614,44.254,129,28000,19.25
"87",3,18,1805,22.6969592691021,23.3531787404961,1.8569328402593,32.652,34.632,152,28000,189.25
"88",3,8,1804,22.1277531537173,23.7533926877296,1.8604529035273,38.438,43.17,129,24000,144.25
"89",1,7,1803,21.6178667655651,23.450698312281,1.86562677430707,32.372,35.614,129,31000,239.25
"90",1,18,1802,20.5098523914828,22.4150209106085,1.87085470226993,42.45666667,50.30833333,152,28000,189.25
"91",1,25,1801,20.3728732111131,24.3560461587194,1.8761467620621,30.294,32.37,129,28000,214.25
"92",3,19,1906,23.2419411726547,22.6542002310495,1.85446985915832,39.348,43.896,136,22000,229.25
"93",3,31,1905,22.4402804920642,23.2698757066175,1.85489245491798,33.44333333,36.28,129,28000,199.25
"94",3,23,1904,21.9204735783266,23.4799291561867,1.85801760860621,37.11333333,41.59,129,36000,199.25
"95",1,2,1903,21.4895986062081,23.1228208595003,1.86301838399622,33.416,36.006,129,24000,274.25
"96",1,29,1902,20.6617766743181,22.66963423916,1.86822212218594,38.666,47.224,136,28000,239.25
"97",1,22,1901,20.4551968651311,24.3473364841484,1.87341864341255,29.852,32.056,152,24000,199.25
"98",3,1,2005,22.1089055519869,23.2415684898729,1.85288939435245,35.486,38.69,152,33000,264.25
"99",3,29,2006,22.8338344607213,22.7709746560878,1.85306867816553,37.95875,41.16,136,28000,239.25
"100",1,6,2001,20.5640886849871,24.4539218576727,1.87082068869969,28.662,31.464,136,25000,159.25
"101",1,16,2002,20.8076745017697,22.928738198772,1.86572905353535,38.465,45.525,129,23000,254.25
"102",1,28,2003,21.4091085920676,22.9054371078826,1.86056293284052,32.77,35.10333333,136,28000,239.25
"103",3,3,2004,21.692049661839,23.2591870159426,1.85564186939453,35,37.794,129,23500,137.25
"104",3,15,2206,22.0667822243348,22.9808699397569,1.85060321330265,44.681,48.038,129,25000,199.25
"105",3,16,2204,21.1882288768432,22.9459455811609,1.85113322156506,35.89,39.482,129,23000,254.25
"106",1,27,2202,21.0384538618234,23.3809804850932,1.86126085533864,40.694,46.016,136,34000,279.25
"107",3,17,2205,21.3094612007466,23.3279207436192,1.84907393399979,35,37.472,129,28000,249.25
"108",1,12,2203,21.3500018425985,22.6360050871742,1.85621698723272,33.084,36.086,136,26000,199.25
"109",1,9,2201,20.8243079150711,24.9204107815969,1.8660349220721,31.752,36.148,129,22000,179.25
"110",3,33,2305,20.8731632003184,23.4364158088353,1.84732370877498,37.558,40.738,129,28000,109.25
"111",1,4,2301,20.9583779566385,25.2378011137291,1.86385758918547,29.842,33.19,129,28000,19.25
"112",1,30,2302,21.1052372923387,23.5627000505,1.85935245452631,42.012,47.628,129,26000,129.25
"113",1,5,2303,21.3616767133959,22.5175017715351,1.85439963471488,37.052,40.788,129,26500,240.25
"114",3,25,2304,20.9181420717926,22.8298810694293,1.84902735179425,38.518,41.97,129,28000,214.25
"115",3,27,2306,21.7335930663124,23.060032349937,1.8496278575129,48.374,51.166,136,34000,279.25
"116",3,26,2406,21.4538726841509,23.1087514753474,1.84888952756439,48.512,49.975,129,25500,194.25
"117",3,20,2405,20.4890547914711,23.5265856431007,1.84587025793325,38.056,41.288,136,30000,159.25
"118",3,11,2404,20.6378445681025,22.7253648251588,1.84703603540316,38.574,41.332,129,24000,184.25
"119",1,21,2403,21.3633610905785,22.4239188003328,1.85283115801813,41.978,45.252,129,24000,139.25
"120",1,11,2402,21.1246975700926,23.704310163827,1.85770959466749,39.464,43.064,129,24000,184.25
"121",1,10,2401,21.0563186952456,25.494031919138,1.86198035587439,30.384,34.544,129,28000,169.25
"122",1,8,2503,21.1014081982558,22.5952180998159,1.85120527147493,40.954,42.856,129,24000,144.25
"123",3,12,2506,21.2354773031563,23.1237781044132,1.8484203613549,47.593,48.145,136,26000,199.25
"124",1,19,2501,21.007410459812,25.3427548983803,1.86091913861684,30.98333333,36.10166667,136,22000,229.25
"125",3,5,2504,20.349826374402,22.6242437588837,1.84517550429426,36.926,39.852,129,26500,240.25
"126",3,7,2505,20.4056826875397,23.3560310251097,1.84528834738232,38.812,42.462,129,31000,239.25
"127",3,24,2606,21.0733272979933,23.1133809383273,1.84822024461926,43.844,43.938,129,25000,219.25
"128",3,30,2605,20.3607313135662,23.2118882346286,1.84504567541054,39.624,42.504,129,26000,129.25
"129",1,26,2603,20.8900894543897,22.7524570012498,1.85003266158796,38.09666667,40.66833333,129,25500,194.25
"130",3,28,2604,20.1057149941373,22.5536064213464,1.84375680508124,36.775,38.86166667,136,28000,239.25
"131",1,17,2602,21.028104428343,23.8679052796316,1.85530757551737,38.952,42.008,129,28000,249.25
"132",1,23,2601,20.9424004998775,25.1838554487034,1.86007255685609,37.444,41.828,129,36000,199.25
"133",3,35,2706,20.955346876601,23.0910310404112,1.84826873408574,42.7875,42.47166667,NA,NA,NA
"134",3,2,2704,20.1377139059598,22.6630999874275,1.84420054618695,35.538,39.8,129,24000,274.25
"135",3,34,2705,20.3380023960034,23.1155525893765,1.84511964598164,43.05333333,46.14333333,129,28000,169.25
"136",1,1,2703,20.7334320394701,22.8987448605272,1.84933307779706,38.236,40.276,152,33000,264.25
"137",1,13,2702,20.9422251889412,23.9099856506721,1.85454020475453,36.686,40.038,136,23000,229.25
"138",1,24,2701,20.8746168494854,25.0495038755254,1.85938949912372,39.38,40.696,129,25000,219.25
